blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.010000,5.000000,0.103333,0.000000,38.666667,109.493342,92.168246,"PF-RichGate(b=0.01,p=0.5,d=5)",3,2,0.500000,2
0.010000,10.000000,0.100000,0.000000,38.666667,109.493342,92.176545,"PF-RichGate(b=0.01,p=0.5,d=10)",3,2,0.500000,2
0.010000,20.000000,0.090000,0.000000,38.666667,109.493342,92.198110,"PF-RichGate(b=0.01,p=0.5,d=20)",3,2,0.500000,2
0.010000,40.000000,0.086667,0.000000,38.666667,109.493342,92.218872,"PF-RichGate(b=0.01,p=0.5,d=40)",3,2,0.500000,2
0.010000,80.000000,0.070000,0.000000,38.666667,108.987553,92.098421,"PF-RichGate(b=0.01,p=0.5,d=80)",3,2,0.500000,2
0.010000,0.000000,0.076667,0.000000,38.666667,109.115869,92.272086,"PF-RichGate(b=0.01,p=0.75,d=0)",3,2,0.750000,2
0.010000,5.000000,0.076667,0.000000,38.666667,109.115869,92.272086,"PF-RichGate(b=0.01,p=0.75,d=5)",3,2,0.750000,2
0.010000,10.000000,0.076667,0.000000,38.666667,109.115869,92.272086,"PF-RichGate(b=0.01,p=0.75,d=10)",3,2,0.750000,2
0.010000,20.000000,0.070000,0.000000,38.666667,109.115869,92.294322,"PF-RichGate(b=0.01,p=0.75,d=20)",3,2,0.750000,2
0.010000,40.000000,0.070000,0.000000,38.666667,109.115869,92.294322,"PF-RichGate(b=0.01,p=0.75,d=40)",3,2,0.750000,2
0.010000,80.000000,0.063333,0.000000,38.666667,108.987553,92.256141,"PF-RichGate(b=0.01,p=0.75,d=80)",3,2,0.750000,2
0.020000,0.000000,0.076667,0.000000,38.666667,109.619872,92.838809,"PF-RichGate(b=0.02,p=0,d=0)",3,2,0.000000,2
0.020000,5.000000,0.076667,0.000000,38.666667,109.619872,92.838809,"PF-RichGate(b=0.02,p=0,d=5)",3,2,0.000000,2
0.020000,10.000000,0.073333,0.000000,38.666667,109.619872,92.847046,"PF-RichGate(b=0.02,p=0,d=10)",3,2,0.000000,2
0.020000,20.000000,0.063333,0.000000,38.666667,109.616582,92.868414,"PF-RichGate(b=0.02,p=0,d=20)",3,2,0.000000,1
0.020000,40.000000,0.063333,0.000000,38.666667,109.616582,92.868414,"PF-RichGate(b=0.02,p=0,d=40)",3,2,0.000000,1
0.020000,80.000000,0.043333,0.000000,38.666667,108.987553,92.672673,"PF-RichGate(b=0.02,p=0,d=80)",3,2,0.000000,1
0.020000,0.000000,0.073333,0.000000,38.666667,109.493342,92.770221,"PF-RichGate(b=0.02,p=0.25,d=0)",3,2,0.250000,2
0.020000,5.000000,0.073333,0.000000,38.666667,109.493342,92.770221,"PF-RichGate(b=0.02,p=0.25,d=5)",3,2,0.250000,2
0.020000,10.000000,0.070000,0.000000,38.666667,109.493342,92.778458,"PF-RichGate(b=0.02,p=0.25,d=10)",3,2,0.250000,2
0.020000,20.000000,0.060000,0.000000,38.666667,109.493342,92.799823,"PF-RichGate(b=0.02,p=0.25,d=20)",3,2,0.250000,1
0.020000,40.000000,0.060000,0.000000,38.666667,109.493342,92.799823,"PF-RichGate(b=0.02,p=0.25,d=40)",3,2,0.250000,1
0.020000,80.000000,0.043333,0.000000,38.666667,108.987553,92.672673,"PF-RichGate(b=0.02,p=0.25,d=80)",3,2,0.250000,1
